state,city,povertyRate,perWhite,perBlack,perNativeAm,perAsian,perHis,perCompHighSchool,medIncome
AL,Carrollton town,29.1,49,43.1,0.1,0,10.4,71,27857
AL,Castleberry town,39.6,59.2,38.4,0.3,0,0.5,75.9,20677
AL,Catherine CDP,0,72.7,27.3,0,0,0,100, 
AL,Cedar Bluff town,25.8,86.2,9.9,0.7,0.3,1.2,77.9,36389
AL,Center Point city,25,32.6,62.9,0.2,0.4,4.8,87.1,39944
AL,Centre city,25.1,87,9.9,0.4,0.3,1.2,76.7,31268
AL,Centreville city,22.4,72.2,23.7,0.3,0.4,3,81.6,41103
AL,Chatom town,19.8,68.2,31.1,0,0,0.6,76,35365
AL,Chelsea city,4.9,89.5,5.7,0.3,2,3.2,93.5,85757
AL,Cherokee town,19.9,77.6,18.3,0.5,0.3,1.7,80.9,28359
AL,Chickasaw city,33.6,63,33.6,0.8,0.5,2.3,79.9,30973
AL,Childersburg city,38.6,60.1,36.9,0.4,0.5,1.3,78.8,25948
AL,Choccolocco CDP,14.7,87.5,7.2,0.3,0.7,4.3,89.4,54825
AL,Chunchula CDP,0,45.7,51.9,0,0,0.5,91.2, 
AL,Citronelle city,16.9,70.7,20.2,4.9,0.5,2.6,82.5,48125
AL,Clanton city,16.9,74.9,19.1,0.3,0.6,6,76.8,39823
AL,Clay city,6.6,84.1,13.3,0.3,0.6,1.3,92.2,68717
AL,Clayhatchee town,16.4,94.9,1.7,0.3,0.3,2.4,85.3,32656
AL,Clayton town,29.3,35.8,63.8,0,0,0.6,57.8,25203
AL,Cleveland town,15,89.2,0.3,0.2,0.3,18.4,74.4,40909
AL,Clio city,31.4,32,36.5,0.4,0.5,36,63.1,19539
AL,Coaling town,19.5,86.4,11.4,0.1,0.1,0.8,88.2,54167
AL,Coats Bend CDP,15,84.4,12.6,0.5,0,0.9,90.9,42821
AL,Coffee Springs town,21.2,96.1,0,0,0,2.6,78,33636
AL,Coffeeville town,41.3,51.4,46,0,0,0.6,71.7,19583
AL,Coker town,10,95.2,2,0.2,0.9,1.8,89.2,45795
AL,Collinsville town,32.1,47.8,9,1.1,0.1,43.1,52,25795
AL,Colony town,24.8,10.4,86.9,0,0.4,0.4,77,33063
AL,Columbia town,20.1,77,21.1,0.4,0,0.4,79,31806
AL,Columbiana city,24,71.3,25.1,0.3,0.2,3,74.4,32700
AL,Concord CDP,7.9,98.5,0.5,0.2,0.2,0.5,91.3,44620
AL,Coosada town,23.5,57.7,40,0.4,0.2,2.9,84.3,47406
AL,Cordova city,32.8,83.4,14.5,0.8,0.1,0.7,79.8,19139
AL,Cottonwood town,29.8,71.8,25.4,0.6,0,1.1,76.3,25313
AL,County Line town,10.7,94.2,1.2,3.1,1.2,0.4,83.9,55313
AL,Courtland town,25.8,57.6,38.4,1.3,0.3,0.3,79.6,33125
AL,Cowarts town,11.7,80.8,14.6,0.7,0.1,1.7,86,43533
AL,Creola city,18.1,84.7,9.8,1.8,0.1,3.1,84.4,51705
AL,Crossville town,38.1,88.7,0.4,1.9,0.2,8.3,70.4,30833
AL,Cuba town,21,85.3,13,0.6,0,0.3,92.1,40673
AL,Cullman city,21.9,93.4,0.9,0.3,0.9,8.2,85.3,38746
AL,Cullomburg CDP,8.5,42.1,57.3,0,0,0,93.4, 
AL,Cusseta town,9.3,95.9,2.4,0,1.6,0,83.7,52500
AL,Dadeville city,28.8,50.2,47.5,0.3,0.6,0.9,73.7,29368
AL,Daleville city,24.5,66.2,22.6,1.1,2.7,10.1,85.3,45651
AL,Daphne city,11.2,84.1,11.8,0.4,1.5,2.9,95.8,60737
AL,Dauphin Island town,3.6,97.3,0.4,1,0.2,0.7,95.8,63594
AL,Daviston town,12.9,88.8,10.3,0,0.9,1.9,87.8,47639
AL,Dayton town,48,32.7,65.4,0,0,0,100, 
AL,Deatsville town,5.1,77.6,19.4,0.1,0.3,1.6,96.3,78125
AL,Decatur city,21.2,66.5,21.7,0.7,0.9,12.4,82.7,41496
AL,Deer Park CDP,28.1,31.9,66.5,0,0,1.6,86.3, 
AL,Delta CDP,0,97,0,2.5,0,0.5,87, 
AL,Demopolis city,31,47.3,50.1,0.1,0.5,2.4,89.1,27656
AL,Detroit town,27.9,83.1,13.9,0,0,0.4,64.8,24107
AL,Dodge City town,16.7,96,0.7,0.8,0,2.5,81.7,41346
AL,Dora city,17.2,85.6,12.2,0.3,0,0.7,82.3,40769
AL,Dothan city,19.1,63.1,32.5,0.4,1.1,2.9,86.2,42426
AL,Double Springs town,27.5,97.3,0.6,0.8,0.2,0.4,74.5,29063
AL,Douglas town,34.9,93.3,0.8,0.4,0,3.9,78.5,29318
AL,Dozier town,30.3,59.6,35.3,0.3,0.3,0,79.1,21765
AL,Dunnavant CDP,7.7,96.7,0.4,0.7,0,2.3,76,42857
AL,Dutton town,24.2,90.8,2.5,0,0,3.2,90.6,39688
AL,East Brewton city,30.6,74.7,20.8,0.6,0,3.1,83.6,26736
AL,East Point CDP,0,96.5,0,0,1,3.5,91.4,62059
AL,Eclectic town,13.4,86.4,11,0.4,0,1.3,84.2,41304
AL,Edgewater CDP,26.5,31,68.4,0.1,0,1,84.1,26818
AL,Edwardsville town,5.1,98,0.5,0,0,0,87,38438
AL,Egypt CDP,4.5,94.3,0.9,0.5,0.5,3.3,84.9,56693
AL,Elba city,31.1,62.1,34.3,1.2,0.3,1.1,76.9,26156
AL,Elberta town,15.8,92.9,1.4,0.3,0.8,5.3,85.8,31190
AL,Eldridge town,37.8,97.7,0.8,0,0,0,75,30000
AL,Elkmont town,11.2,85.9,12.7,1.2,0,0,78.2,39583
AL,Elmore town,30,64.3,26.7,0.1,0.2,8.8,70.5,40150
AL,Emelle town,0,5.7,94.3,0,0,0,79.3,36250
AL,Emerald Mountain CDP,8.2,87.1,11,0.2,0.6,1.6,90.9,91054
