Geographic Area,City,percent_completed_hs,Median Income
IA,Hazleton city,92,40565
IA,Hedrick city,87.6,28333
IA,Henderson city,92.3,36563
IA,Hepburn city,93.8,(X)
IA,Hiawatha city,94.6,51127
IA,High Amana CDP,100,42232
IA,Hills city,93.1,50417
IA,Hillsboro city,83.4,37981
IA,Hinton city,95.1,64091
IA,Holiday Lake CDP,94.9,(X)
IA,Holland city,92.9,54375
IA,Holstein city,94.2,47708
IA,Holy Cross city,90.5,52292
IA,Homestead CDP,100,46595
IA,Hopkinton city,89.2,42250
IA,Hornick city,84.2,41944
IA,Hospers city,89,54500
IA,Houghton city,85.5,66875
IA,Hubbard city,86,48864
IA,Hudson city,97.9,77969
IA,Hull city,80.5,52969
IA,Humboldt city,91.9,43504
IA,Humeston city,92.1,39286
IA,Hutchins CDP,100,-
IA,Huxley city,93.3,64549
IA,Ida Grove city,89,40294
IA,Imogene city,88.5,(X)
IA,Independence city,92.1,50036
IA,Indianola city,95.5,49708
IA,Inwood city,87.9,44886
IA,Ionia city,94,50625
IA,Iowa City city,95.1,42375
IA,Iowa Falls city,92.3,48118
IA,Ireton city,92.6,48000
IA,Irvington CDP,100,-
IA,Irwin city,91.6,40795
IA,Jackson Junction city,96.8,48750
IA,Jacksonville CDP,100,18594
IA,Jamaica city,83.9,40417
IA,Janesville city,94.9,52625
IA,Jefferson city,90.7,44184
IA,Jesup city,97.4,56898
IA,Jewell Junction city,91.2,51613
IA,Johnston city,96.6,97457
IA,Joice city,95,36458
IA,Jolley city,90.3,27500
IA,Kalona city,84,41204
IA,Kamrar city,86.9,38125
IA,Kanawha city,86.7,39028
IA,Kellerton city,91.3,36563
IA,Kelley city,94.9,71667
IA,Kellogg city,88.7,48482
IA,Kensett city,90.9,26932
IA,Kent CDP,85.7,-
IA,Keokuk city,89.4,33608
IA,Keomah Village city,100,60625
IA,Keosauqua city,95.8,42788
IA,Keota city,90.5,43015
IA,Keswick city,94,41635
IA,Keystone city,93.6,56161
IA,Kimballton city,87.3,37188
IA,Kingsley city,94.2,61161
IA,Kinross city,78.9,35000
IA,Kirkman city,100,45750
IA,Kirkville city,88.9,45833
IA,Kiron city,91.3,35625
IA,Klemme city,94.6,46979
IA,Knierim city,100,53438
IA,Knoxville city,89.9,41225
IA,Lacona city,89.5,40179
IA,Ladora city,88.1,42750
IA,Lake City city,86.8,39115
IA,Lake Mills city,90,42760
IA,Lake Panorama CDP,100,63571
IA,Lake Park city,94.8,58750
IA,Lakeside city,82.5,67083
IA,Lake View city,91.4,50000
IA,Lakota city,82.6,30833
IA,Lambs Grove city,93.9,65938
IA,Lamoni city,89.5,32277
IA,Lamont city,87,42031
IA,La Motte city,91.7,57500
IA,Lanesboro city,89.7,30313
IA,Lansing city,95,36000
IA,La Porte City city,93.7,50281
IA,Larchwood city,90.4,54205
IA,Larrabee city,89.3,39545
IA,Latimer city,81.9,40417
IA,Laurel city,90.8,41477
IA,Laurens city,89.4,38125
IA,Lawler city,92.9,46250
IA,Lawton city,95.5,65556
IA,Leando CDP,100,(X)
IA,Le Claire city,98.7,77127
IA,Ledyard city,92.1,34167
IA,Le Grand city,95,55357
IA,Lehigh city,92.6,30375
IA,Leighton city,93.5,50000
IA,Leland city,92.4,35938
IA,Le Mars city,89.7,50283
IA,Lenox city,85.6,36741
IA,Leon city,86.5,36172
IA,Le Roy city,100,-
IA,Lester city,94.7,56731
IA,Letts city,87.6,46250
IA,Lewis city,84,41125
IA,Libertyville city,92.8,55357
IA,Lidderdale city,96.5,44306
IA,Lime Springs city,87.9,48056
IA,Lincoln city,89.8,28333
IA,Linden city,79.5,35000
IA,Lineville city,83.5,35833
IA,Linn Grove city,94.6,39375
IA,Lisbon city,91.9,49135
IA,Liscomb city,95.2,54375
IA,Little Cedar CDP,100,28438
IA,Little Rock city,87.6,51719
IA,Little Sioux city,75.2,32500
IA,Livermore city,91.1,54500
IA,Lockridge city,90.2,37500
IA,Logan city,89.1,58125
IA,Lohrville city,89.5,46375
IA,Lone Rock city,82.6,45313
IA,Lone Tree city,95,61667
IA,Long Grove city,98.1,93750
IA,Lorimor city,88.2,34688
IA,Lost Nation city,89.9,40714
IA,Loveland CDP,40,-
IA,Lovilia city,89,42273
IA,Lowden city,91.7,38056
IA,Low Moor city,92.3,44167
IA,Luana city,87.9,43250
IA,Lucas city,88.9,50938
IA,Luther city,97.6,65250
IA,Lu Verne city,82.4,34250
IA,Luxemburg city,87.5,46875
IA,Luzerne city,96.5,57500
IA,Lynnville city,90.9,62981
IA,Lytton city,90.4,46250
IA,McCallsburg city,91.7,44375
IA,McCausland city,92.7,64896
IA,McClelland city,94.4,66250
IA,Macedonia city,90.5,51250
IA,McGregor city,94,39327
IA,McIntire city,76.3,31500
IA,Macksburg city,86.7,42188
IA,Madrid city,91,54444
IA,Magnolia city,87.3,49375
IA,Maharishi Vedic City city,98.4,55313
IA,Malcom city,88.8,39712
IA,Mallard city,91.4,35972
IA,Maloy city,100,61250
IA,Malvern city,90.4,61842
IA,Manchester city,89.6,45616
IA,Manilla city,86.3,35536
IA,Manly city,92.2,42434
IA,Manning city,92.9,42548
IA,Manson city,94.3,37434
IA,Mapleton city,89.1,40294
IA,Maquoketa city,91.4,39269
IA,Marathon city,79.3,37250
IA,Marble Rock city,83,38438
IA,Marcus city,91.2,52143
IA,Marengo city,88.9,44045
IA,Marion city,96.4,64527
IA,Marne city,94,43750
IA,Marquette city,88,34808
IA,Marshalltown city,78.1,50396
IA,Martelle city,93.2,46667
IA,Martensdale city,93.3,51964
IA,Martinsburg city,89.2,56458
IA,Marysville city,85.3,40250
IA,Mason City city,92.8,43525
IA,Masonville city,87,28438
IA,Massena city,91.7,36250
IA,Matlock city,93.3,71875
IA,Maurice city,90.7,56406
IA,Maxwell city,95.9,65625
IA,Maynard city,89.5,44000
IA,Maysville city,93.2,33214
IA,Mechanicsville city,92.1,54250
IA,Mediapolis city,92.7,50333
IA,Melbourne city,95.1,48194
IA,Melcher-Dallas city,87.3,37586
IA,Melrose city,82.7,41250
IA,Melvin city,89.6,46250
IA,Menlo city,87.8,41500
IA,Meriden city,94,44375
IA,Merrill city,93.5,52500
IA,Meservey city,96.3,50625
IA,Meyer CDP,-,-
IA,Middle Amana CDP,90.9,69141
IA,Middletown city,94.6,49643
IA,Miles city,90.7,49000
IA,Milford city,93.8,47024
IA,Miller CDP,-,-
IA,Millersburg city,89.8,52857
IA,Millerton city,100,38750
IA,Milo city,96,57566
IA,Milton city,73.4,38036
IA,Minburn city,94.2,44318
IA,Minden city,94.7,62917
IA,Mineola CDP,100,40568
IA,Mingo city,96.4,35313
IA,Missouri Valley city,90.4,44150
IA,Mitchell city,82.5,41250
IA,Mitchellville city,90.9,54107
IA,Modale city,92.9,51167
IA,Mona CDP,100,62784
IA,Mondamin city,91.3,45682
IA,Monmouth city,83.3,40000
IA,Monona city,89.5,48209
IA,Monroe city,93.4,55714
IA,Montezuma city,94.3,50966
IA,Monticello city,92.6,47083
IA,Montour city,85.6,57321
IA,Montrose city,92.7,44444
IA,Moorhead city,97.3,32750
IA,Moorland city,81.8,38125
IA,Moravia city,91.1,41196
IA,Morley city,86.8,30313
IA,Morning Sun city,84.8,47778
IA,Morrison city,95.3,56250
IA,Moulton city,86.7,32083
IA,Mount Auburn city,91.1,45417
IA,Mount Ayr city,87.5,45688
IA,Mount Pleasant city,92.1,45539
IA,Mount Sterling CDP,100,127875
IA,Mount Union city,85.5,41667
IA,Mount Vernon city,96.7,68910
IA,Moville city,97,56250
IA,Murray city,90.8,40417
IA,Muscatine city,85.4,44601
IA,Mystic city,81.4,28906
IA,Nashua city,94,46121
IA,Nemaha city,75,40000
IA,Neola city,97,47969
IA,Nevada city,91.1,55657
IA,New Albin city,95.1,26912
IA,Newell city,90.9,55500
IA,Newhall city,97.2,66771
IA,New Hampton city,87.8,41455
IA,New Hartford city,96.2,47065
IA,New Haven CDP,100,26310
IA,New Liberty city,93.8,56563
IA,New London city,93.5,46830
IA,New Market city,94,42321
IA,New Providence city,95.3,49500
IA,New Sharon city,93.8,57065
IA,Newton city,91.6,46512
IA,New Vienna city,89.2,55469
IA,New Virginia city,94.3,58438
IA,Nichols city,86.8,51250
IA,Nodaway city,89.7,35000
IA,Nora Springs city,90.4,42500
IA,Northboro city,91.7,31250
IA,North Buena Vista city,75,30250
IA,North English city,91.4,46625
IA,North Liberty city,97.3,72451
IA,North Washington city,97.8,47188
IA,Northwood city,89.4,39583
IA,Norwalk city,96.9,79252
IA,Norway city,94.7,48516
IA,Numa city,67.9,37500
IA,Oakland city,92.3,67386
IA,Oakland Acres city,100,82083
IA,Oakville city,82.4,27500
IA,Ocheyedan city,91.9,42188
IA,Odebolt city,91.2,47727
IA,Oelwein city,85.7,37875
IA,Ogden city,95.1,50313
IA,Okoboji city,96.9,56932
IA,Olds city,93.2,50313
IA,Olin city,90.9,40179
IA,Ollie city,78.5,40469
IA,Onawa city,92.9,31610
IA,Onslow city,92.9,40938
IA,Orange City city,95.4,62568
IA,Orchard city,93.1,50000
IA,Orient city,94.5,44063
IA,Orleans city,97.6,67614
IA,Osage city,94.3,48059
IA,Osceola city,84.5,40204
IA,Oskaloosa city,91.1,40016
IA,Ossian city,93.3,51583
IA,Osterdock city,94.6,68125
IA,Otho city,87.4,42232
IA,Oto city,81.5,38438
IA,Otranto CDP,100,-
IA,Ottosen city,85.7,40000
IA,Ottumwa city,84.1,38570
IA,Owasa city,100,26875
IA,Oxford city,90.7,60441
IA,Oxford Junction city,87.3,35417
IA,Oyens city,100,62813
IA,Pacific Junction city,73.7,39688
IA,Packwood city,82.5,58500
IA,Palmer city,82.9,43750
IA,Palo city,96.8,69444
IA,Panama city,90.5,54792
IA,Panora city,87.9,46371
IA,Panorama Park city,84.3,47500
IA,Parkersburg city,93.1,43452
IA,Park View CDP,96.1,75551
IA,Parnell city,96.3,57750
IA,Paton city,96.4,54375
IA,Patterson city,89.3,50000
IA,Paullina city,92,54375
IA,Pella city,90.7,55551
IA,Peosta city,96,81397
IA,Percival CDP,100,(X)
IA,Perry city,77.7,42225
IA,Persia city,91.3,55714
IA,Peterson city,88.9,38750
IA,Pierson city,92,36250
IA,Pilot Mound city,84.8,32188
IA,Pioneer city,100,-
IA,Pisgah city,88.3,36875
IA,Plainfield city,93.8,52917
IA,Plano city,90.9,43750
IA,Pleasant Hill city,92,72431
IA,Pleasanton city,86.7,37083
IA,Pleasant Plain city,84.2,36875
IA,Pleasantville city,93.8,48100
IA,Plover city,93.8,36250
IA,Plymouth city,88.5,48438
IA,Pocahontas city,93,41447
IA,Polk City city,97.5,78903
IA,Pomeroy city,91.3,37986
IA,Popejoy city,100,(X)
IA,Portland CDP,100,-
IA,Portsmouth city,90.6,46250
IA,Postville city,72.2,33944
IA,Prairieburg city,81.9,44063
IA,Prairie City city,93.5,58173
IA,Prescott city,94.5,52500
IA,Preston city,85.5,46635
IA,Primghar city,89.7,51042
IA,Princeton city,93.8,62500
IA,Promise City city,95,53750
IA,Protivin city,90.8,40000
IA,Pulaski city,93.8,51250
IA,Quasqueton city,93.4,42697
IA,Quimby city,76.5,40625
IA,Radcliffe city,86.5,53333
IA,Rake city,84.1,27750
IA,Ralston city,89.1,38750
IA,Randalia city,91.7,40625
IA,Randall city,90.8,43750
IA,Randolph city,90.2,47969
IA,Rathbun city,98.4,36250
IA,Raymond city,95.5,66250
IA,Readlyn city,92,59750
IA,Reasnor city,89.1,38750
IA,Redding city,82.6,36250
IA,Redfield city,91,47171
IA,Red Oak city,84.8,31943
IA,Reinbeck city,95.5,50563
IA,Rembrandt city,81.4,38125
IA,Remsen city,91.7,51339
IA,Renwick city,89.3,41250
IA,Rhodes city,90.9,45000
IA,Riceville city,90.1,39896
IA,Richland city,90.6,51875
IA,Rickardsville city,93.3,72778
IA,Ricketts city,93.2,47375
IA,Ridgeway city,89.3,47708
IA,Rinard city,91.1,48125
IA,Ringsted city,93.4,36563
IA,Rippey city,88,46607
IA,Riverdale city,95.4,68750
IA,Riverside city,93.1,51250
IA,River Sioux CDP,75,18487
IA,Riverton city,89.6,52583
IA,Robins city,97.4,110188
IA,Rochester CDP,100,-
IA,Rock Falls city,95,44107
IA,Rockford city,93.1,42917
IA,Rock Rapids city,88,54583
IA,Rock Valley city,87.6,61360
IA,Rockwell city,93.2,53421
IA,Rockwell City city,92.6,42450
IA,Rodman city,91.9,26667
IA,Rodney city,62,16944
IA,Roland city,97.3,71705
IA,Rolfe city,85.1,38472
IA,Rome city,80.6,43750
IA,Rose Hill city,80,30000
IA,Roseville CDP,-,-
IA,Rossie city,100,51875
IA,Rowan city,89.1,31731
IA,Rowley city,97.1,52396
IA,Royal city,95.5,42500
IA,Rudd city,90.3,41667
IA,Runnells city,97.4,71250
IA,Russell city,90.2,32188
IA,Ruthven city,89,39375
IA,Rutland city,82.4,35625
IA,Ryan city,86,55000
IA,Sabula city,91,48688
IA,Sac City city,93,45528
IA,Sageville city,95.7,51250
IA,St. Ansgar city,94.3,49635
IA,St. Anthony city,86.9,32000
IA,St. Benedict CDP,100,90000
IA,St. Charles city,95.6,66771
IA,St. Donatus city,98.1,51071
IA,St. Joseph CDP,80,45625
IA,St. Lucas city,84.8,57273
IA,St. Marys city,98.2,73750
IA,St. Olaf city,89.7,39028
IA,St. Paul city,95.8,54750
IA,Salem city,86.2,33182
IA,Salix city,94.3,55625
IA,Sanborn city,89.4,48419
IA,Sandyville city,70,30625
IA,Saylorville CDP,97.8,71318
IA,Scarville city,95.7,37500
IA,Schaller city,91,41875
IA,Schleswig city,92.3,50278
IA,Scranton city,87.7,43929
IA,Searsboro city,87.8,30417
IA,Sergeant Bluff city,95.3,82419
IA,Sexton CDP,100,-
IA,Seymour city,84.2,27639
IA,Shambaugh city,93.4,41875
IA,Shannon City city,98,32292
IA,Sharpsburg city,96.2,31875
IA,Sheffield city,93.6,48036
IA,Shelby city,89.1,44167
IA,Sheldahl city,92.9,56250
IA,Sheldon city,91.8,51500
IA,Shell Rock city,95.1,50324
IA,Shellsburg city,94.3,48162
IA,Shenandoah city,84.9,36541
IA,Sherrill city,86.5,68750
IA,Shueyville city,97.7,111875
IA,Sibley city,81.6,40602
IA,Sidney city,89.5,48636
IA,Sigourney city,89.9,39750
IA,Silver City city,86.4,69375
IA,Sioux Center city,87.4,66906
IA,Sioux City city,83.6,43888
IA,Sioux Rapids city,93.8,39375
IA,Slater city,99.2,72222
IA,Sloan city,94.8,57656
IA,Smithland city,91.7,38750
IA,Soldier city,95.7,38750
IA,Solon city,97.9,75833
IA,Somers city,93,42813
IA,South Amana CDP,100,61176
IA,South English city,87.7,48750
IA,Spencer city,93.5,45688
IA,Spillville city,78,38438
IA,Spirit Lake city,93.3,56485
IA,Spragueville city,78.9,25750
IA,Springbrook city,92.6,60625
IA,Spring Hill city,77.1,38750
IA,Springville city,95.9,58825
IA,Stacyville city,86.2,37500
IA,Stanhope city,89,44167
IA,Stanley city,93,41875
IA,Stanton city,92.7,61458
IA,Stanwood city,89.5,49167
IA,State Center city,94.2,52917
IA,Steamboat Rock city,96.9,39250
IA,Stockport city,91.4,32019
IA,Stockton city,90.6,52500
IA,Stone City CDP,89.2,81786
IA,Storm Lake city,66.4,43539
IA,Story City city,89.9,52330
IA,Stout city,92.4,57750
IA,Stratford city,87.4,45250
IA,Strawberry Point city,89,43700
IA,Struble city,92.3,59688
IA,Stuart city,87.9,38250
IA,Sully city,93.8,59018
IA,Sumner city,94.9,51298
IA,Sun Valley Lake CDP,100,(X)
IA,Superior city,82.6,48750
IA,Sutherland city,93,44896
IA,Swaledale city,95.2,38077
IA,Swan city,92.2,23750
IA,Swea City city,88.8,31522
IA,Swisher city,97.8,74615
IA,Tabor city,90.2,57083
IA,Tama city,84.4,51741
IA,Templeton city,85.2,49375
IA,Tennant city,88,36667
IA,Terril city,88.9,35625
IA,Thayer city,93.9,43750
IA,Thompson city,85.6,41953
IA,Thor city,94.1,48000
IA,Thornburg city,94,48750
IA,Thornton city,92.9,39423
IA,Thurman city,85.4,49063
IA,Tiffin city,97.3,57125
IA,Tingley city,96.8,40625
IA,Tipton city,91.1,50734
IA,Titonka city,85.5,35769
IA,Toeterville CDP,100,25139
IA,Toledo city,82.7,46406
IA,Toronto city,89.8,45000
IA,Traer city,92.3,53676
IA,Treynor city,98.6,70000
IA,Tripoli city,85.2,47313
IA,Truesdale city,80.8,40000
IA,Truro city,90.6,50789
IA,Turin city,94.6,41250
IA,Twin Lakes CDP,100,121875
IA,Udell city,75,28125
IA,Underwood city,94.5,74600
IA,Union city,90.4,41705
IA,Unionville city,94.8,40625
IA,University Heights city,100,52386
IA,University Park city,91.4,46719
IA,Urbana city,93.4,74286
IA,Urbandale city,97,78059
IA,Ute city,84.4,35500
IA,Vail city,77.7,43359
IA,Valeria city,93.5,53750
IA,Van Horne city,94.8,50000
IA,Van Meter city,98.8,83889
IA,Van Wert city,72,28000
IA,Varina city,75.6,30833
IA,Ventura city,98.5,67422
IA,Victor city,93.6,43542
IA,Villisca city,90.1,32042
IA,Vincent city,87.5,51250
IA,Vining city,92.6,61667
IA,Vinton city,94.4,48930
IA,Volga city,89.1,34333
IA,Wadena city,85.9,40139
IA,Wahpeton city,96.5,64643
IA,Walcott city,90.9,49583
IA,Walford city,98.3,92284
IA,Walker city,93.9,63750
IA,Wallingford city,90.8,53750
IA,Wall Lake city,88.6,48646
IA,Walnut city,90,42308
IA,Wapello city,85.2,44112
IA,Washburn CDP,90.8,49669
IA,Washington city,91.4,45013
IA,Washta city,81.9,34583
IA,Waterloo city,87.1,41933
IA,Waterville city,90.6,42500
IA,Watkins CDP,86.4,31797
IA,Waucoma city,88,37639
IA,Waukee city,98,77200
IA,Waukon city,85,39417
IA,Waverly city,95.3,61506
IA,Wayland city,82.8,51563
IA,Webb city,89.5,41750
IA,Webster city,85.5,41250
IA,Webster City city,88.4,42011
IA,Weldon city,90.4,31250
IA,Wellman city,93.2,56983
IA,Wellsburg city,93.4,47019
IA,Welton city,96.8,68750
IA,Wesley city,89.6,46750
IA,West Amana CDP,100,(X)
IA,West Bend city,92.2,44766
IA,West Branch city,95.9,60650
IA,West Burlington city,90.9,38314
IA,West Chester city,80.7,31429
IA,West Des Moines city,96,71200
IA,Westfield city,80,40417
IA,Westgate city,96.1,52361
IA,West Liberty city,72.2,54408
IA,West Okoboji city,94,50833
IA,Weston CDP,84.1,(X)
IA,Westphalia city,89.2,41964
IA,West Point city,95.6,52768
IA,Westside city,92,52250
IA,West Union city,94.3,40980
IA,Westwood city,97,82917
IA,What Cheer city,83.3,31518
IA,Wheatland city,89.2,48229
IA,Whiting city,93.5,38558
IA,Whittemore city,97.6,42500
IA,Whitten city,85.3,39375
IA,Willey city,91.7,69375
IA,Williams city,94.9,52000
IA,Williamsburg city,91.9,54367
IA,Williamson city,86.7,40000
IA,Wilton city,94.7,51726
IA,Windsor Heights city,96.4,57627
IA,Winfield city,89.6,41875
IA,Winterset city,91.8,41289
IA,Winthrop city,95.4,54779
IA,Wiota city,91.7,39167
IA,Woden city,88.3,40417
IA,Woodbine city,89.8,44688
IA,Woodburn city,92.7,34605
IA,Woodward city,76.9,58125
IA,Woolstock city,92.7,45714
IA,Worthington city,91.5,61136
IA,Wyoming city,90.3,41750
IA,Yale city,87.1,44000
IA,Yetter city,80,(X)
IA,Yorktown city,91.8,38750
IA,Zearing city,93.5,57031
IA,Zwingle city,85,42292
KS,Abbyville city,95.5,42500
KS,Abilene city,85.2,49813
KS,Ada CDP,71.7,39423
KS,Admire city,93.9,36750
KS,Agenda city,95.9,27083
KS,Agra city,94.4,41250
KS,Albert city,96.5,56250
KS,Alden city,90.3,60625
KS,Alexander city,90.3,45625
KS,Allen city,84.2,39500
KS,Alma city,93.4,43889
KS,Almena city,93.2,39896
KS,Altamont city,93.6,47321
KS,Alta Vista city,92.2,43409
KS,Alton city,85.4,29722
KS,Altoona city,78.3,35250
KS,Americus city,89.3,40455
KS,Andale city,95.8,72188
KS,Andover city,97.3,83608
KS,Anthony city,87.5,37826
KS,Arcadia city,79.4,18194
KS,Argonia city,94.5,50083
KS,Arkansas City city,87.2,38757
KS,Arlington city,86.9,37313
KS,Arma city,88.4,33500
KS,Asherville CDP,-,-
KS,Ashland city,92.1,46058
KS,Assaria city,95.9,51250
KS,Atchison city,93,40512
KS,Athol city,91.3,51250
KS,Atlanta city,95.3,56250
KS,Attica city,85.1,41635
KS,Atwood city,92.4,36458
KS,Auburn city,92.7,50703
KS,Augusta city,89.7,46270
KS,Aurora city,70.6,21250
KS,Axtell city,92.8,53125
KS,Baileyville CDP,88.4,41477
KS,Baldwin City city,96.1,51718
KS,Barnard city,95.9,35000
KS,Barnes city,88.9,21875
KS,Bartlett city,95.8,(X)
KS,Basehor city,94.2,83836
KS,Bassett city,100,(X)
KS,Baxter Springs city,88.7,49531
KS,Bazine city,84.2,35750
KS,Beattie city,87.4,61250
KS,Bel Aire city,95.4,72640
KS,Belle Plaine city,93.2,45781
KS,Belleville city,91.5,34201
KS,Beloit city,95.4,45682
KS,Belpre city,64.2,41063
KS,Belvue city,95.2,44167
KS,Bendena CDP,100,39375
KS,Benedict city,61.2,31250
KS,Bennington city,93.8,50682
KS,Bentley city,85.2,63750
KS,Benton city,95.6,47891
KS,Bern city,88.8,51250
KS,Beverly city,93.9,25893
KS,Bird City city,86.6,40380
KS,Bison city,89,45278
KS,Blue Mound city,80.6,31979
KS,Blue Rapids city,90.5,38750
KS,Bluff City city,70.6,31250
KS,Bogue city,87.7,33438
KS,Bonner Springs city,89.6,56278
KS,Brewster city,91.3,50625
KS,Bronson city,90.3,35341
KS,Brookville city,88.5,48203
KS,Brownell city,94.3,57708
KS,Bucklin city,89.2,51364
KS,Bucyrus CDP,95.5,59423
KS,Buffalo city,82.8,37159
KS,Buhler city,95.1,52933
KS,Bunker Hill city,79.5,36250
KS,Burden city,93,39167
KS,Burdett city,93.8,38750
KS,Burlingame city,87.3,31650
KS,Burlington city,90.1,50000
KS,Burns city,70.5,38750
KS,Burr Oak city,81.4,36250
KS,Burrton city,94,51143
KS,Bushong city,59.1,28125
KS,Bushton city,92,49250
KS,Byers city,100,33750
KS,Caldwell city,90.8,38309
KS,Cambridge city,93,50625
KS,Caney city,86.7,27419
KS,Canton city,87.2,51908
KS,Carbondale city,92.1,39934
KS,Carlton city,91.7,49375
KS,Cassoday city,95.9,35972
KS,Catharine CDP,100,-
KS,Cawker City city,89.8,44464
KS,Cedar city,100,21250
KS,Cedar Point city,100,(X)
KS,Cedar Vale city,89.1,35238
KS,Centralia city,84.2,33125
KS,Chanute city,89.4,39263
KS,Chapman city,92.7,54554
KS,Chase city,73.7,35089
KS,Chautauqua city,71.2,21667
KS,Cheney city,94.6,67826
KS,Cherokee city,89.8,32500
KS,Cherryvale city,85.9,34286
KS,Chetopa city,84.4,33229
KS,Chicopee CDP,92.1,56103
KS,Cimarron city,84.5,57500
KS,Circleville city,96.2,55000
KS,Claflin city,91.5,54792
KS,Clay Center city,95.9,42500
KS,Clayton city,73.3,36875
KS,Clearwater city,94.4,59083
KS,Clifton city,92.3,49219
KS,Climax city,62.5,30000
KS,Clyde city,90.8,43875
KS,Coats city,61.9,30833
KS,Coffeyville city,83.4,31486
KS,Colby city,92,44679
KS,Coldwater city,89.9,37125
KS,Collyer city,98.2,42500
KS,Colony city,93.9,35781
KS,Columbus city,83.7,38914
KS,Colwich city,97.7,81908
KS,Concordia city,90,34293
KS,Conway Springs city,89,42500
KS,Coolidge city,85.9,57188
KS,Copeland city,79.7,56875
KS,Corning city,96.1,41042
KS,Cottonwood Falls city,88.1,35547
KS,Council Grove city,85.7,36154
KS,Courtland city,90.7,38438
KS,Coyville city,82.6,(X)
KS,Cuba city,94.4,42500
KS,Cullison city,78.4,66250
KS,Culver city,84,38125
KS,Cunningham city,93.7,47813
KS,Damar city,86.2,33750
KS,Danville city,94.3,39375
KS,Dearing city,88.3,43125
KS,Deerfield city,62.8,48409
KS,Delia city,89.9,48750
KS,Delphos city,91.9,38333
KS,Denison city,85.1,38333
KS,Denton city,98.4,63750
KS,Derby city,96.2,68736
KS,De Soto city,90,51259
KS,Detroit CDP,67.5,49125
KS,Dexter city,86.7,41000
KS,Dighton city,95.1,54489
KS,Dodge City city,65.8,47461
KS,Dorrance city,99.2,49583
KS,Douglass city,89,54688
KS,Downs city,91.9,44167
KS,Dresden city,57.8,25417
KS,Dunlap city,90,25000
KS,Durham city,79.3,40938
KS,Dwight city,84.2,33333
KS,Earlton city,75,28750
KS,Eastborough city,97.7,114250
KS,Easton city,77.7,38125
KS,Edgerton city,90.4,54861
KS,Edmond city,100,43750
KS,Edna city,95,52375
KS,Edwardsville city,87.2,56063
KS,Effingham city,92.6,36964
KS,Elbing city,97.6,72292
KS,El Dorado city,91.6,42813
KS,Elgin city,75.3,34583
KS,Elk City city,84.4,24306
KS,Elk Falls city,75.6,25833
KS,Elkhart city,84.9,45000
KS,Ellinwood city,84.7,49432
KS,Ellis city,87.7,46548
KS,Ellsworth city,87.4,40208
KS,Elmdale city,67.3,"250,000+"
KS,Elsmore city,75.4,37500
KS,Elwood city,84,35500
KS,Emmett city,81.3,35938
KS,Emporia city,85.6,36228
KS,Englewood city,98.2,21875
KS,Ensign city,61.1,54250
KS,Enterprise city,89.6,39792
KS,Erie city,93.3,39519
KS,Esbon city,87.4,35714
KS,Eskridge city,92.5,43083
KS,Eudora city,91.7,58857
KS,Eureka city,90.4,35408
KS,Everest city,90.9,52560
KS,Fairview city,89.1,31250
KS,Fairway city,99.7,101426
KS,Fall River city,89.5,45714
KS,Falun CDP,80.5,61364
KS,Florence city,90.3,26458
KS,Fontana city,83.2,41354
KS,Ford city,89.1,46250
KS,Formoso city,88.3,29375
KS,Fort Dodge CDP,92.6,13776
KS,Fort Riley CDP,98.7,34993
KS,Fort Scott city,88.2,31592
KS,Fowler city,80.7,41208
KS,Frankfort city,88.4,44500
KS,Franklin CDP,82,29226
KS,Frederick city,25,-
KS,Fredonia city,87.4,37292
KS,Freeport city,-,-
KS,Frontenac city,93.5,47500
KS,Fulton city,87.8,27083
KS,Galatia city,100,52500
KS,Galena city,80.8,38106
KS,Galesburg city,88.4,28750
KS,Galva city,90.7,51500
KS,Garden City city,70.7,47279
KS,Garden Plain city,91.3,61250
KS,Gardner city,94.4,67422
KS,Garfield city,73.7,39583
KS,Garnett city,91.4,33053
KS,Gas city,87.7,41875
KS,Gaylord city,80.8,(X)
KS,Gem city,98.4,55000
KS,Geneseo city,90.8,34531
KS,Geuda Springs city,80.9,39750
KS,Girard city,90.9,36250
KS,Glade city,89.5,44583
KS,Glasco city,91.5,34167
KS,Glen Elder city,96,40500
KS,Goddard city,90.6,64167
KS,Goessel city,91.7,41000
KS,Goff city,86.4,(X)
KS,Goodland city,88.1,34909
KS,Gorham city,91.9,39583
KS,Gove City city,100,49500
KS,Grainfield city,89.6,38750
KS,Grandview Plaza city,87.5,42684
KS,Grantville CDP,100,-
KS,Great Bend city,83.9,39718
KS,Greeley city,94.9,31771
KS,Greeley County unified government (balance),87.2,47833
KS,Green city,85.2,56250
KS,Greenleaf city,80.6,37250
KS,Greensburg city,91.4,38571
KS,Grenola city,83.5,46250
KS,Gridley city,93.9,41023
KS,Grinnell city,92.8,42083
KS,Gypsum city,93.7,44479
KS,Haddam city,80.7,30625
KS,Halstead city,87.7,54010
KS,Hamilton city,95.4,34167
KS,Hamlin city,96.8,44375
KS,Hanover city,90,40341
KS,Hanston city,81,53750
KS,Hardtner city,84,46250
KS,Harper city,84.5,46750
KS,Harris CDP,0,-
KS,Hartford city,88.4,46250
KS,Harveyville city,91.6,37344
KS,Havana city,60.4,46563
KS,Haven city,94.5,48289
KS,Havensville city,96.7,61250
